cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
bug_fix,7ce900c977e864b49fb8d3e66c9bbf79b36d4813,4a9f9f7e0797b8bc4c04fdb5ada46a1aba512f5e,fix(inflections): register HTML acronym for markdown renderer,config/initializers/inflections.rb,"",18 19 20 21,4a9f9f7e0797b8bc4c04fdb5ada46a1aba512f5e,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
bug_fix,c884668d6f5fc4f31c058ace16e68bee8b6de3d0,0fe2ae20a992d02af1787f86c72f9111ed552294,fix(people): avoid deprecated render file usage,app/controllers/people_controller.rb,18,18,0fe2ae20a992d02af1787f86c72f9111ed552294,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
bug_fix,4e88c72f4d62b5f94ebd2eb0e4e79d72a27a77b9,90903b8938ebbec031a32001e5a5fafb54994b49,fix(test): stabilize hovercard tests,features/step_definitions/hovercard_steps.rb,4,4,90903b8938ebbec031a32001e5a5fafb54994b49,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
bug_fix,7eb7b48494cd8497b9923fedd7065446a6d9e0a6,bb8db6e63dc0b1a4b31b9872eca819aca2409948,fix(cucumber): start with a clean database before the first test,features/support/env.rb,"",61 62,bb8db6e63dc0b1a4b31b9872eca819aca2409948,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,d86451db663bef33329b63ce07172fe1b798fd6f,2fd40b4c1bbf7c6c7334410046c5b252ee105971,feat(zeitwerk): switch autoloader to zeitwerk,config/application.rb,28 29 30,"",2fd40b4c1bbf7c6c7334410046c5b252ee105971,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,d86451db663bef33329b63ce07172fe1b798fd6f,2fd40b4c1bbf7c6c7334410046c5b252ee105971,feat(zeitwerk): switch autoloader to zeitwerk,config/application.rb,40,"",2fd40b4c1bbf7c6c7334410046c5b252ee105971,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,d86451db663bef33329b63ce07172fe1b798fd6f,2fd40b4c1bbf7c6c7334410046c5b252ee105971,feat(zeitwerk): switch autoloader to zeitwerk,config/environments/test.rb,18,18,2fd40b4c1bbf7c6c7334410046c5b252ee105971,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,2fd40b4c1bbf7c6c7334410046c5b252ee105971,cb20b368832c26be6cfc68688cc612a508da6bae,refactor(zeitwerk): make remaining files compatible with zeitwerk lib layout,config/initializers/load_libraries.rb,16 17 18,"",cb20b368832c26be6cfc68688cc612a508da6bae,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,2fd40b4c1bbf7c6c7334410046c5b252ee105971,cb20b368832c26be6cfc68688cc612a508da6bae,refactor(zeitwerk): make remaining files compatible with zeitwerk lib layout,config/initializers/locale.rb,7,"",cb20b368832c26be6cfc68688cc612a508da6bae,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,2fd40b4c1bbf7c6c7334410046c5b252ee105971,cb20b368832c26be6cfc68688cc612a508da6bae,refactor(zeitwerk): make remaining files compatible with zeitwerk lib layout,config/load_config.rb,12,12,cb20b368832c26be6cfc68688cc612a508da6bae,Rails.root,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,2fd40b4c1bbf7c6c7334410046c5b252ee105971,cb20b368832c26be6cfc68688cc612a508da6bae,refactor(zeitwerk): make remaining files compatible with zeitwerk lib layout,config/load_config.rb,16,16,cb20b368832c26be6cfc68688cc612a508da6bae,Rails.root,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,2fd40b4c1bbf7c6c7334410046c5b252ee105971,cb20b368832c26be6cfc68688cc612a508da6bae,refactor(zeitwerk): make remaining files compatible with zeitwerk lib layout,lib/configuration/methods.rb,50 51 52 53 54,50 51,cb20b368832c26be6cfc68688cc612a508da6bae,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,61655fd12da59daf78158244f5fc9415053c24fd,7ce900c977e864b49fb8d3e66c9bbf79b36d4813,refactor(rails): load only the needed railties,config/application.rb,5,5 6 7 8 9 10 11 12,7ce900c977e864b49fb8d3e66c9bbf79b36d4813,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,61655fd12da59daf78158244f5fc9415053c24fd,7ce900c977e864b49fb8d3e66c9bbf79b36d4813,refactor(rails): load only the needed railties,config/environments/production.rb,18 19 20 21 22,"",7ce900c977e864b49fb8d3e66c9bbf79b36d4813,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,90c5058fceaf7c938861521cccf392178c55105c,c6b53595ec2c9205c6da7fceebfb6fa5aeccfbdb,refactor(pubsubhubbub): remove pubsubhubbub publishing path,config/initializers/load_libraries.rb,20,"",c6b53595ec2c9205c6da7fceebfb6fa5aeccfbdb,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,90c5058fceaf7c938861521cccf392178c55105c,c6b53595ec2c9205c6da7fceebfb6fa5aeccfbdb,refactor(pubsubhubbub): remove pubsubhubbub publishing path,features/support/poor_mans_webmock.rb,8 9 10 11 12 13,"",c6b53595ec2c9205c6da7fceebfb6fa5aeccfbdb,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
