cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
bug_fix,a892cf5dd1759dad38ec950888d52230229a7f58,a8d5cbc8dbdc106d2cfdd5465f98c30fb786e379,fix: delta input was broken,app/helpers/group_order_articles_helper.rb,21,21,a8d5cbc8dbdc106d2cfdd5465f98c30fb786e379,GroupOrderArticlesHelper#group_order_article_edit_result,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,a892cf5dd1759dad38ec950888d52230229a7f58,a8d5cbc8dbdc106d2cfdd5465f98c30fb786e379,fix: delta input was broken,app/inputs/delta_input.rb,12 13 14 15 16,12 13 14 15 16 17 18,a8d5cbc8dbdc106d2cfdd5465f98c30fb786e379,DeltaInput#input,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,a892cf5dd1759dad38ec950888d52230229a7f58,a8d5cbc8dbdc106d2cfdd5465f98c30fb786e379,fix: delta input was broken,app/inputs/delta_input.rb,27,29,a8d5cbc8dbdc106d2cfdd5465f98c30fb786e379,DeltaInput#delta_button,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,a892cf5dd1759dad38ec950888d52230229a7f58,a8d5cbc8dbdc106d2cfdd5465f98c30fb786e379,fix: delta input was broken,app/inputs/delta_input.rb,31,33,a8d5cbc8dbdc106d2cfdd5465f98c30fb786e379,DeltaInput#buttons,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,638f8f7ca964f0f63b00a1b310104115ce27a6c2,2cb3b9071ff92bf8a41d7dbce5765f1b48609732,fix(order): raise error for invalid orders in FTP upload,app/models/order.rb,321 322,321,2cb3b9071ff92bf8a41d7dbce5765f1b48609732,Order#upload_via_ftp,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,3143a80844e8addd97e1ce2b4c40b106a5f0b1c8,3d1d06f51cdf2c7a26f777fc6f50f97fa577564b,fix(order): correct article version query,app/models/order.rb,408,408,3d1d06f51cdf2c7a26f777fc6f50f97fa577564b,Order#ftp_uploadable,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,ec170719dd60b76e4ec32fc213465d6976b01b16,ab233baca85535ef462594405eca6ca96e3c37c9,fix(mollie): skip payment method if pricing is empty,plugins/mollie/app/controllers/payments/mollie_controller.rb,"",81 82,ab233baca85535ef462594405eca6ca96e3c37c9,Payments::MollieController#payment_methods,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,1c16fe03bb863f597165bd502b530fce9d5f602b,1680fa46697da21849827527605bafd6fa7a598a,fix: error in case of empty samples,app/controllers/articles_controller.rb,118,118,1680fa46697da21849827527605bafd6fa7a598a,ArticlesController#complete_units_migration,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,e5efdc965c87021f94faf4d2341b3dcb1f948ea4,ffb63a7a7c93ab69cc9b77d3e2854739423823d4,Closes #1297 - Optionally display demo mode warning in header (#1298),lib/foodsoft_config.rb,276,276 277,ffb63a7a7c93ab69cc9b77d3e2854739423823d4,DistributionStrategy#initial_default_config,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,7b498a230e8567395f8d87745872981198b31c42,94380bd7370f8a0e5c6d4030a7310af33d758e5f,refactor(order): extract remote filename generation logic,app/models/order.rb,328,328 329,94380bd7370f8a0e5c6d4030a7310af33d758e5f,Order#upload_via_ftp,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,7b498a230e8567395f8d87745872981198b31c42,94380bd7370f8a0e5c6d4030a7310af33d758e5f,refactor(order): extract remote filename generation logic,app/models/order.rb,330 331,331,94380bd7370f8a0e5c6d4030a7310af33d758e5f,Order#upload_via_ftp,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,7b498a230e8567395f8d87745872981198b31c42,94380bd7370f8a0e5c6d4030a7310af33d758e5f,refactor(order): extract remote filename generation logic,plugins/b85/lib/foodsoft_b85/order_b85.rb,"",43 44 45 46 47,94380bd7370f8a0e5c6d4030a7310af33d758e5f,OrderB85#initialize,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,1fa9e2789d004a12f8b5f570f3d2d697e758440a,87c14afeec833a3d3e8c0f7a98f362c5767a9f5d,feat(order): add FTP-specific validation for order articles,app/models/order.rb,"",25,87c14afeec833a3d3e8c0f7a98f362c5767a9f5d,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,1fa9e2789d004a12f8b5f570f3d2d697e758440a,87c14afeec833a3d3e8c0f7a98f362c5767a9f5d,feat(order): add FTP-specific validation for order articles,app/models/order.rb,"",401 402 403 404 405 406 407 408 409 410 411 412 413 414 415 416 417 418 419 420,87c14afeec833a3d3e8c0f7a98f362c5767a9f5d,Order#save_order_articles,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,87c14afeec833a3d3e8c0f7a98f362c5767a9f5d,893ba65f7937b76939072ac9e4b4c9fcf1890921,feat(order): add FTP support for sending orders to supplier,app/models/order.rb,310 311,310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336,893ba65f7937b76939072ac9e4b4c9fcf1890921,Order#send_to_supplier!,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,87c14afeec833a3d3e8c0f7a98f362c5767a9f5d,893ba65f7937b76939072ac9e4b4c9fcf1890921,feat(order): add FTP support for sending orders to supplier,app/models/order.rb,313,"",893ba65f7937b76939072ac9e4b4c9fcf1890921,Order#send_to_supplier!,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,b77ff9104665935f392094f121b76a8b0836074c,816f5f0ca9d2ec70aeaed74638d5d5e290b10fbb,feat(order): add B85 export functionality for orders,app/lib/order_b85.rb,"",1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95,816f5f0ca9d2ec70aeaed74638d5d5e290b10fbb,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
