cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
bug_fix,838cf2c6076712437fe9889a156aded806063a89,fe300ef5087f033cf4b6f2c538cc058c72d8872b,fix: do not find agent from job when no job_data,app/helpers/jobs_helper.rb,"",26,fe300ef5087f033cf4b6f2c538cc058c72d8872b,JobsHelper#agent_from_job,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,838cf2c6076712437fe9889a156aded806063a89,fe300ef5087f033cf4b6f2c538cc058c72d8872b,fix: do not find agent from job when no job_data,app/helpers/jobs_helper.rb,"",28 29 30 31 32 33 34,fe300ef5087f033cf4b6f2c538cc058c72d8872b,JobsHelper#agent_from_job,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,fe300ef5087f033cf4b6f2c538cc058c72d8872b,721617329d9020f8a7a406df8ba49387fd19a35d,fix: do not emit AgentReemitJob if agent has no recent event,app/controllers/agents_controller.rb,82,82,721617329d9020f8a7a406df8ba49387fd19a35d,AgentsController#reemit_events,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,91cd43a4d9d1f406febd99bc9311922ecdf29753,f877ebb53be9496f47ea62eb99513816cc9e0b2b,fix: ignore subdirs in the dropbox watch agent,app/models/agents/dropbox_watch_agent.rb,55,55 56 57,f877ebb53be9496f47ea62eb99513816cc9e0b2b,DropboxWatchAgent#ls,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,8ddf11495a2e15ee9e91280a062acb38fd44129d,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,Add delayed_job_master worker option,config/delayed_job_master.rb,"",1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,8ddf11495a2e15ee9e91280a062acb38fd44129d,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,Add delayed_job_master worker option,lib/delayed_job_worker.rb,"",1,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,8ddf11495a2e15ee9e91280a062acb38fd44129d,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,Add delayed_job_master worker option,lib/delayed_job_worker.rb,10,11,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,DelayedJobWorker#stop,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,52cda2bc83657b7ddef402d31ac0731b73f109f6,Bound Agent execution lock waits,app/models/agent.rb,"",8 9 10,52cda2bc83657b7ddef402d31ac0731b73f109f6,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,52cda2bc83657b7ddef402d31ac0731b73f109f6,Bound Agent execution lock waits,app/models/agent.rb,100,103 104,52cda2bc83657b7ddef402d31ac0731b73f109f6,Agent.with_execution_lock,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,05a7e77e3062ec209a3f57ca8e246880cf7b36b8,52cda2bc83657b7ddef402d31ac0731b73f109f6,Bound Agent execution lock waits,app/models/agent.rb,106,110 111,52cda2bc83657b7ddef402d31ac0731b73f109f6,Agent#with_execution_lock,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,a62f3eb3b9f0b7a90fceced1e645955a19dade75,60965d05679309bf063e5ee454005b4d88a48ce4,Bound and report failures of Scenario fetches by URL,app/importers/scenario_import.rb,"",12 13,60965d05679309bf063e5ee454005b4d88a48ce4,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,a62f3eb3b9f0b7a90fceced1e645955a19dade75,60965d05679309bf063e5ee454005b4d88a48ce4,Bound and report failures of Scenario fetches by URL,app/importers/scenario_import.rb,128 129 130,130 131 132 133 134 135 136 137 138 139 140 141 142 143,60965d05679309bf063e5ee454005b4d88a48ce4,ScenarioImport#fetch_url,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,a62f3eb3b9f0b7a90fceced1e645955a19dade75,60965d05679309bf063e5ee454005b4d88a48ce4,Bound and report failures of Scenario fetches by URL,lib/faraday/response/size_limit.rb,"",1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,60965d05679309bf063e5ee454005b4d88a48ce4,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,8602d88f9afafbbdd9d467582c32af0ff0f07ae1,04d483a8f3b7f9e182c98da79fd7c71c5d9eeafd,Generate a random seed password when SEED_PASSWORD is unset,db/seeds/seeder.rb,"",8 9 10 11,04d483a8f3b7f9e182c98da79fd7c71c5d9eeafd,Seeder.seed,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,8602d88f9afafbbdd9d467582c32af0ff0f07ae1,04d483a8f3b7f9e182c98da79fd7c71c5d9eeafd,Generate a random seed password when SEED_PASSWORD is unset,db/seeds/seeder.rb,10 11,14 15,04d483a8f3b7f9e182c98da79fd7c71c5d9eeafd,Seeder.seed,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,8602d88f9afafbbdd9d467582c32af0ff0f07ae1,04d483a8f3b7f9e182c98da79fd7c71c5d9eeafd,Generate a random seed password when SEED_PASSWORD is unset,db/seeds/seeder.rb,"",20 21 22 23 24,04d483a8f3b7f9e182c98da79fd7c71c5d9eeafd,Seeder.seed,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,ee18f299b722aba6e8c08299099006e97c6bbcd9,d9c369306ec726131a2303821ee3e8116446527c,Enable Devise paranoid mode,config/initializers/devise.rb,76,76,d9c369306ec726131a2303821ee3e8116446527c,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
