cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
nonfix_control,64e41f7dedf0ade7b6e4b37ff8dd59d8ea679354,a958d0efc41cc1e1e6969c6c82bd4c89859f3991,Turn off the lights on the old setup,app/controllers/api_controller.rb,25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,"",a958d0efc41cc1e1e6969c6c82bd4c89859f3991,"",yes,git worktree add --detach /tmp/mutant-study-a958d0efc41c a958d0efc41cc1e1e6969c6c82bd4c89859f3991 && cd /tmp/mutant-study-a958d0efc41c && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,64e41f7dedf0ade7b6e4b37ff8dd59d8ea679354,a958d0efc41cc1e1e6969c6c82bd4c89859f3991,Turn off the lights on the old setup,app/controllers/embed_controller.rb,3,"",a958d0efc41cc1e1e6969c6c82bd4c89859f3991,"",yes,git worktree add --detach /tmp/mutant-study-a958d0efc41c a958d0efc41cc1e1e6969c6c82bd4c89859f3991 && cd /tmp/mutant-study-a958d0efc41c && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,64e41f7dedf0ade7b6e4b37ff8dd59d8ea679354,a958d0efc41cc1e1e6969c6c82bd4c89859f3991,Turn off the lights on the old setup,app/controllers/embed_controller.rb,6 7 8 9 10 11 12 13 14 15 16,5,a958d0efc41cc1e1e6969c6c82bd4c89859f3991,"",yes,git worktree add --detach /tmp/mutant-study-a958d0efc41c a958d0efc41cc1e1e6969c6c82bd4c89859f3991 && cd /tmp/mutant-study-a958d0efc41c && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,64e41f7dedf0ade7b6e4b37ff8dd59d8ea679354,a958d0efc41cc1e1e6969c6c82bd4c89859f3991,Turn off the lights on the old setup,config/routes.rb,10 11 12 13 14,"",a958d0efc41cc1e1e6969c6c82bd4c89859f3991,"",yes,git worktree add --detach /tmp/mutant-study-a958d0efc41c a958d0efc41cc1e1e6969c6c82bd4c89859f3991 && cd /tmp/mutant-study-a958d0efc41c && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,64e41f7dedf0ade7b6e4b37ff8dd59d8ea679354,a958d0efc41cc1e1e6969c6c82bd4c89859f3991,Turn off the lights on the old setup,config/routes.rb,39,"",a958d0efc41cc1e1e6969c6c82bd4c89859f3991,"",yes,git worktree add --detach /tmp/mutant-study-a958d0efc41c a958d0efc41cc1e1e6969c6c82bd4c89859f3991 && cd /tmp/mutant-study-a958d0efc41c && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,a958d0efc41cc1e1e6969c6c82bd4c89859f3991,2bdee08be1180d28a3618921e51c9b2b02b73371,Nudge this toward being reusable,app/helpers/bookmarklet_helper.rb,8,8,2bdee08be1180d28a3618921e51c9b2b02b73371,"",yes,git worktree add --detach /tmp/mutant-study-2bdee08be118 2bdee08be1180d28a3618921e51c9b2b02b73371 && cd /tmp/mutant-study-2bdee08be118 && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,0536cd566d287944dfa024f1a02de5521e775b6c,e7c2bc56239b50fd1e28e1443312c845aa5bd3e6,"Sure, let's make a spec",app/controllers/pages_controller.rb,36,36 37 38 39,e7c2bc56239b50fd1e28e1443312c845aa5bd3e6,"",yes,git worktree add --detach /tmp/mutant-study-e7c2bc56239b e7c2bc56239b50fd1e28e1443312c845aa5bd3e6 && cd /tmp/mutant-study-e7c2bc56239b && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,f8c6138226658d961e698af2b17030059056faa3,cc7d37ef5a97d5cbb5e0107694cf11ba7f370535,"Completely forgot we have a closure here, amazing",app/helpers/bookmarklet_helper.rb,7,7 8,cc7d37ef5a97d5cbb5e0107694cf11ba7f370535,"",yes,git worktree add --detach /tmp/mutant-study-cc7d37ef5a97 cc7d37ef5a97d5cbb5e0107694cf11ba7f370535 && cd /tmp/mutant-study-cc7d37ef5a97 && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,65ddff7b4b063a90169c3fb41a2b545c501d30c1,fc16528ce7e8d1dd7ad7f6693d50465f924c8e6a,Add RSpec to bin/ci,config/ci.rb,"",12,fc16528ce7e8d1dd7ad7f6693d50465f924c8e6a,"",yes,git worktree add --detach /tmp/mutant-study-fc16528ce7e8 fc16528ce7e8d1dd7ad7f6693d50465f924c8e6a && cd /tmp/mutant-study-fc16528ce7e8 && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
nonfix_control,746c36b6b48094926761496435a4e0b2237e99f6,5e93afd13306e0eba353735d11d0b16e9b446da4,Get a proper link for testing in,app/helpers/bookmarklet_helper.rb,"",1 2 3 4 5 6 7 8 9,5e93afd13306e0eba353735d11d0b16e9b446da4,"",yes,git worktree add --detach /tmp/mutant-study-5e93afd13306 5e93afd13306e0eba353735d11d0b16e9b446da4 && cd /tmp/mutant-study-5e93afd13306 && bundle exec mutant run --usage opensource '$SUBJECT',"Resolve mutant_subject to the enclosing method/class before execution; run against parent_sha, not fix commit."
