cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
bug_fix,f66eb8393c2b78135c32065b3f9a405ddb4e2255,bd149ff255a24759616a2b41e460edbeb941e687,fix(auth): allow event commercial management,app/models/ability.rb,"",155 156,bd149ff255a24759616a2b41e460edbeb941e687,Ability#common_abilities_for_admins,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,f66eb8393c2b78135c32065b3f9a405ddb4e2255,bd149ff255a24759616a2b41e460edbeb941e687,fix(auth): allow event commercial management,app/models/ability.rb,"",168 169,bd149ff255a24759616a2b41e460edbeb941e687,Ability#common_abilities_for_admins,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,cf87cc628094da92cca710e42bb0c3020bc3eec0,bead2ecff725f605cee25dd3a7a183b086d17953,Remove unused ticket_purchase_params,app/controllers/ticket_purchases_controller.rb,34 35 36 37 38 39,"",bead2ecff725f605cee25dd3a7a183b086d17953,TicketPurchasesController#index,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,ba2b2b7fc9c8917a0b897ccce9ba9990dcd9a1de,3c23b5c8edd13a738d9676dcab8d9731ae052117,Update Rails to 7.2 and next Rails to 8.0,app/lib/rails_version.rb,12,12,3c23b5c8edd13a738d9676dcab8d9731ae052117,RailsVersion.next?,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,ba2b2b7fc9c8917a0b897ccce9ba9990dcd9a1de,3c23b5c8edd13a738d9676dcab8d9731ae052117,Update Rails to 7.2 and next Rails to 8.0,app/models/conference.rb,7,7 8 9,3c23b5c8edd13a738d9676dcab8d9731ae052117,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,ba2b2b7fc9c8917a0b897ccce9ba9990dcd9a1de,3c23b5c8edd13a738d9676dcab8d9731ae052117,Update Rails to 7.2 and next Rails to 8.0,app/models/conference.rb,829,831,3c23b5c8edd13a738d9676dcab8d9731ae052117,Conference#get_events_per_week_by_state,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,ba2b2b7fc9c8917a0b897ccce9ba9990dcd9a1de,3c23b5c8edd13a738d9676dcab8d9731ae052117,Update Rails to 7.2 and next Rails to 8.0,config/application.rb,39,39,3c23b5c8edd13a738d9676dcab8d9731ae052117,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,27062ea5c310f2f657e6807b440f92aa367b87d7,8e173ef713682ce2deff71d1649a85412e4edd0e,Move sign_in_path into the controller it's used...,app/controllers/admin/base_controller.rb,19,19,8e173ef713682ce2deff71d1649a85412e4edd0e,BaseController#verify_user_admin,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,27062ea5c310f2f657e6807b440f92aa367b87d7,8e173ef713682ce2deff71d1649a85412e4edd0e,Move sign_in_path into the controller it's used...,app/controllers/admin/base_controller.rb,"",29 30 31 32 33 34 35 36,8e173ef713682ce2deff71d1649a85412e4edd0e,BaseController#verify_user_admin,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,27062ea5c310f2f657e6807b440f92aa367b87d7,8e173ef713682ce2deff71d1649a85412e4edd0e,Move sign_in_path into the controller it's used...,app/helpers/application_helper.rb,118 119 120 121 122 123 124 125,"",8e173ef713682ce2deff71d1649a85412e4edd0e,ApplicationHelper#sign_in_path,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,04beb397ee36a632b0ebe5598ec6ad29501a2be7,4ec9aee5da6e98a9f558616052b2c471ef115c53,Put RailsVersion into autoloaded path,app/lib/rails_version.rb,11 12,11 12,4ec9aee5da6e98a9f558616052b2c471ef115c53,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,ddcd8dfc699cb630906748b9aa164a9b4cd8423b,4ec9aee5da6e98a9f558616052b2c471ef115c53,Drop Rails.application.secrets usage,app/helpers/users_helper.rb,17 18 19 20 21,"",4ec9aee5da6e98a9f558616052b2c471ef115c53,UsersHelper#omniauth_configured,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,ddcd8dfc699cb630906748b9aa164a9b4cd8423b,4ec9aee5da6e98a9f558616052b2c471ef115c53,Drop Rails.application.secrets usage,config/initializers/devise.rb,10 11 12 13 14,10 11 12,4ec9aee5da6e98a9f558616052b2c471ef115c53,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,ddcd8dfc699cb630906748b9aa164a9b4cd8423b,4ec9aee5da6e98a9f558616052b2c471ef115c53,Drop Rails.application.secrets usage,config/initializers/sentry.rb,2,2,4ec9aee5da6e98a9f558616052b2c471ef115c53,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,ddcd8dfc699cb630906748b9aa164a9b4cd8423b,4ec9aee5da6e98a9f558616052b2c471ef115c53,Drop Rails.application.secrets usage,config/initializers/stripe.rb,1,1,4ec9aee5da6e98a9f558616052b2c471ef115c53,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
