cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
bug_fix,3be663dc8931bd731516bafd6edff6b0fbd03df2,d038eaa8c763d3cafa797ccd6f773d53470bd336,fix: give each worker process a unique locker identity (#3628),lib/postal/config.rb,"",14,d038eaa8c763d3cafa797ccd6f773d53470bd336,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
bug_fix,3be663dc8931bd731516bafd6edff6b0fbd03df2,d038eaa8c763d3cafa797ccd6f773d53470bd336,fix: give each worker process a unique locker identity (#3628),lib/postal/config.rb,"",91 92 93 94,d038eaa8c763d3cafa797ccd6f773d53470bd336,Postal#logger,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,3be663dc8931bd731516bafd6edff6b0fbd03df2,d038eaa8c763d3cafa797ccd6f773d53470bd336,fix: give each worker process a unique locker identity (#3628),lib/postal/config.rb,92,97,d038eaa8c763d3cafa797ccd6f773d53470bd336,Postal#process_name,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,3be663dc8931bd731516bafd6edff6b0fbd03df2,d038eaa8c763d3cafa797ccd6f773d53470bd336,fix: give each worker process a unique locker identity (#3628),lib/postal/config.rb,94,99,d038eaa8c763d3cafa797ccd6f773d53470bd336,Postal#process_name,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,cad2aa6808519a3ff25215f09f4966d9fa3bb372,b611d577af79b8e1e75b6d47fa04d1ba03e34eec,fix(messages): sandbox rendered email HTML as extra XSS defence,app/controllers/messages_controller.rb,"",92 93 94 95 96 97 98 99 100 101 102 103,b611d577af79b8e1e75b6d47fa04d1ba03e34eec,MessagesController#html_raw,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,11419f99140e13688a9613cab3ee03f8d3cbae45,b7e5232e077b3c9b7a999dcb6676fba0ec61458e,fix(deliveries): escape delivery details to prevent HTML injection,app/helpers/application_helper.rb,"",6,b7e5232e077b3c9b7a999dcb6676fba0ec61458e,ApplicationHelper#format_delivery_details,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,b7e5232e077b3c9b7a999dcb6676fba0ec61458e,e00098b8003cf37f2708f536871b3ade377aed2d,fix: typo in process logging (#3212),app/lib/worker/process.rb,205,205,e00098b8003cf37f2708f536871b3ade377aed2d,Process#start_tasks_thread,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,e00098b8003cf37f2708f536871b3ade377aed2d,d00d978872a96369544303d08f6a9d11cdf56b62,fix: update url for v2 config (#3225),lib/postal/config.rb,61,61,d00d978872a96369544303d08f6a9d11cdf56b62,Postal#initialize_config,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,ced77a3860c23779889aec8dacd2642f20d10cea,3be663dc8931bd731516bafd6edff6b0fbd03df2,feat: add configurable Postal logger level defaulting to INFO (#3626),lib/postal/config.rb,"",86,3be663dc8931bd731516bafd6edff6b0fbd03df2,Postal#logger,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,ced77a3860c23779889aec8dacd2642f20d10cea,3be663dc8931bd731516bafd6edff6b0fbd03df2,feat: add configurable Postal logger level defaulting to INFO (#3626),lib/postal/config_schema.rb,"",230 231 232 233 234 235 236 237 238 239 240 241 242,3be663dc8931bd731516bafd6edff6b0fbd03df2,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
