cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
bug_fix,90e82823d335d52a7190d0d41580c1e6780bff7c,cf6919ad74f11fb84538cbb86d23698fdb86624f,fix: handle bad input case,lib/shipit.rb,95,95 96 97 98 99,cf6919ad74f11fb84538cbb86d23698fdb86624f,Shipit#presence_check_timeout,no,git worktree add --detach /tmp/mutant-study-cf6919ad74f1 cf6919ad74f11fb84538cbb86d23698fdb86624f && cd /tmp/mutant-study-cf6919ad74f1 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,389373b08efcc350ba2711309d7a5533e7045dc1,fb8e257fadd3ee896e99b655c8989a28553a26db,Exclude archived stacks from the scheduler loops,app/models/shipit/stack.rb,120,120 121 122 123 124 125 126,fb8e257fadd3ee896e99b655c8989a28553a26db,NoDeployedCommit.refresh_deployed_revisions,no,git worktree add --detach /tmp/mutant-study-fb8e257fadd3 fb8e257fadd3ee896e99b655c8989a28553a26db && cd /tmp/mutant-study-fb8e257fadd3 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,389373b08efcc350ba2711309d7a5533e7045dc1,fb8e257fadd3ee896e99b655c8989a28553a26db,Exclude archived stacks from the scheduler loops,app/models/shipit/stack.rb,124,130,fb8e257fadd3ee896e99b655c8989a28553a26db,NoDeployedCommit.schedule_continuous_delivery,no,git worktree add --detach /tmp/mutant-study-fb8e257fadd3 fb8e257fadd3ee896e99b655c8989a28553a26db && cd /tmp/mutant-study-fb8e257fadd3 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,fb8e257fadd3ee896e99b655c8989a28553a26db,f96f87a37211f1df05eb7042c9a2304a3dbcf028,Only cache the deploy spec when the sync changed something,app/controllers/shipit/api/stacks_controller.rb,72,72 73 74 75 76 77,f96f87a37211f1df05eb7042c9a2304a3dbcf028,StacksController#refresh,no,git worktree add --detach /tmp/mutant-study-f96f87a37211 f96f87a37211f1df05eb7042c9a2304a3dbcf028 && cd /tmp/mutant-study-f96f87a37211 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,fb8e257fadd3ee896e99b655c8989a28553a26db,f96f87a37211f1df05eb7042c9a2304a3dbcf028,Only cache the deploy spec when the sync changed something,app/controllers/shipit/stacks_controller.rb,97,97 98 99 100 101 102,f96f87a37211f1df05eb7042c9a2304a3dbcf028,StacksController#refresh,no,git worktree add --detach /tmp/mutant-study-f96f87a37211 f96f87a37211f1df05eb7042c9a2304a3dbcf028 && cd /tmp/mutant-study-f96f87a37211 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,fb8e257fadd3ee896e99b655c8989a28553a26db,f96f87a37211f1df05eb7042c9a2304a3dbcf028,Only cache the deploy spec when the sync changed something,app/jobs/shipit/github_sync_job.rb,"",22 23,f96f87a37211f1df05eb7042c9a2304a3dbcf028,GithubSyncJob#perform,no,git worktree add --detach /tmp/mutant-study-f96f87a37211 f96f87a37211f1df05eb7042c9a2304a3dbcf028 && cd /tmp/mutant-study-f96f87a37211 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,fb8e257fadd3ee896e99b655c8989a28553a26db,f96f87a37211f1df05eb7042c9a2304a3dbcf028,Only cache the deploy spec when the sync changed something,app/jobs/shipit/github_sync_job.rb,"",43 44 45 46 47,f96f87a37211f1df05eb7042c9a2304a3dbcf028,GithubSyncJob#perform,no,git worktree add --detach /tmp/mutant-study-f96f87a37211 f96f87a37211f1df05eb7042c9a2304a3dbcf028 && cd /tmp/mutant-study-f96f87a37211 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,fb8e257fadd3ee896e99b655c8989a28553a26db,f96f87a37211f1df05eb7042c9a2304a3dbcf028,Only cache the deploy spec when the sync changed something,app/jobs/shipit/github_sync_job.rb,"",73 74 75 76 77 78 79,f96f87a37211f1df05eb7042c9a2304a3dbcf028,GithubSyncJob#fetch_missing_commits,no,git worktree add --detach /tmp/mutant-study-f96f87a37211 f96f87a37211f1df05eb7042c9a2304a3dbcf028 && cd /tmp/mutant-study-f96f87a37211 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,f96f87a37211f1df05eb7042c9a2304a3dbcf028,47daa3173fd62bbb91a647baa96ca9d56a05721f,Re-enqueue CacheDeploySpecJob when the head moves during a run,app/jobs/shipit/cache_deploy_spec_job.rb,"",19,47daa3173fd62bbb91a647baa96ca9d56a05721f,CacheDeploySpecJob#perform,no,git worktree add --detach /tmp/mutant-study-47daa3173fd6 47daa3173fd62bbb91a647baa96ca9d56a05721f && cd /tmp/mutant-study-47daa3173fd6 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,f96f87a37211f1df05eb7042c9a2304a3dbcf028,47daa3173fd62bbb91a647baa96ca9d56a05721f,Re-enqueue CacheDeploySpecJob when the head moves during a run,app/jobs/shipit/cache_deploy_spec_job.rb,20,21,47daa3173fd62bbb91a647baa96ca9d56a05721f,CacheDeploySpecJob#perform,no,git worktree add --detach /tmp/mutant-study-47daa3173fd6 47daa3173fd62bbb91a647baa96ca9d56a05721f && cd /tmp/mutant-study-47daa3173fd6 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,f96f87a37211f1df05eb7042c9a2304a3dbcf028,47daa3173fd62bbb91a647baa96ca9d56a05721f,Re-enqueue CacheDeploySpecJob when the head moves during a run,app/jobs/shipit/cache_deploy_spec_job.rb,"",24 25 26 27 28,47daa3173fd62bbb91a647baa96ca9d56a05721f,CacheDeploySpecJob#perform,no,git worktree add --detach /tmp/mutant-study-47daa3173fd6 47daa3173fd62bbb91a647baa96ca9d56a05721f && cd /tmp/mutant-study-47daa3173fd6 && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,47daa3173fd62bbb91a647baa96ca9d56a05721f,3eadede70d3b22063d0818f62c6ca6043f15ae77,Set dedupe lock timeout on CacheDeploySpecJob,app/jobs/shipit/cache_deploy_spec_job.rb,"",10 11 12 13 14 15,3eadede70d3b22063d0818f62c6ca6043f15ae77,"",yes,git worktree add --detach /tmp/mutant-study-3eadede70d3b 3eadede70d3b22063d0818f62c6ca6043f15ae77 && cd /tmp/mutant-study-3eadede70d3b && bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,a903de41f6a75972c5f1897790470055b263d18d,217dcac58bcf056986ff00b30c34efbf0171fa55,Skip submodule clones in CacheDeploySpecJob,app/jobs/shipit/cache_deploy_spec_job.rb,14,14,217dcac58bcf056986ff00b30c34efbf0171fa55,CacheDeploySpecJob#perform,no,git worktree add --detach /tmp/mutant-study-217dcac58bcf 217dcac58bcf056986ff00b30c34efbf0171fa55 && cd /tmp/mutant-study-217dcac58bcf && bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
