cohort_role,commit_sha,parent_sha,commit_subject,source_file,parent_changed_lines,fix_changed_lines,snapshot_ref,mutant_subject,manual_target_required,mutant_command,notes
bug_fix,10608592421e986d03f8531ce38ccc700af1d6c2,40a5041c8cd433c515a339fc7919650e03eacfa9,fix: handle missing category translations gracefully (#830),app/helpers/categories_helper.rb,3,3,40a5041c8cd433c515a339fc7919650e03eacfa9,CategoriesHelper#all_categories,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,10608592421e986d03f8531ce38ccc700af1d6c2,40a5041c8cd433c515a339fc7919650e03eacfa9,fix: handle missing category translations gracefully (#830),app/models/category.rb,"",6 7 8 9 10 11 12 13 14,40a5041c8cd433c515a339fc7919650e03eacfa9,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
bug_fix,10608592421e986d03f8531ce38ccc700af1d6c2,40a5041c8cd433c515a339fc7919650e03eacfa9,fix: handle missing category translations gracefully (#830),app/models/category.rb,7,16,40a5041c8cd433c515a339fc7919650e03eacfa9,Category#to_s,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
bug_fix,966b68e876ec891869e9b99e19b357e6f5eabf26,eea06a5633fdc60a62c42c0db7ebc8a8e6c03301,fix: skip seeds when running in production environment (#832),db/seeds.rb,"",1 2 3 4 5,eea06a5633fdc60a62c42c0db7ebc8a8e6c03301,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,808a6ba663c4c6ea1bdcf2fe426a817b4b8af1c2,b515afbe5f1b1fc0295ebd5194fb584521ede0ed,feat: dutch translation (#826),config/application.rb,16,16,b515afbe5f1b1fc0295ebd5194fb584521ede0ed,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,abf149ab2d1673f9ad36c2e2219a3690dde2e8c1,e5b826dc96dc573be1c5097e17b88eeb8682dccf,Add Japanese language 🌐 (#807),config/application.rb,16,16,e5b826dc96dc573be1c5097e17b88eeb8682dccf,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,c4699c63aad648f80e4a1957a3333b0c56330eb4,b7ef4a6a951f652a56432c5bb0636c0f51419224,Only admins of org could access to /petitions/manage (#787),app/controllers/petitions_controller.rb,"",21 22,b7ef4a6a951f652a56432c5bb0636c0f51419224,PetitionsController#update,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,c4699c63aad648f80e4a1957a3333b0c56330eb4,b7ef4a6a951f652a56432c5bb0636c0f51419224,Only admins of org could access to /petitions/manage (#787),app/controllers/petitions_controller.rb,"",36 37,b7ef4a6a951f652a56432c5bb0636c0f51419224,PetitionsController#manage,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,c4699c63aad648f80e4a1957a3333b0c56330eb4,b7ef4a6a951f652a56432c5bb0636c0f51419224,Only admins of org could access to /petitions/manage (#787),app/policies/petition_policy.rb,"",1 2 3 4 5 6 7 8 9 10 11,b7ef4a6a951f652a56432c5bb0636c0f51419224,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,17904b2f6718da1e9ee6abf97a5cc3c068cd092d,110e8833c9c823a28e2ebaecbcc9a41225a3d4ab,[config] use a different queue for mailers,config/application.rb,"",25 26 27,110e8833c9c823a28e2ebaecbcc9a41225a3d4ab,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,17904b2f6718da1e9ee6abf97a5cc3c068cd092d,110e8833c9c823a28e2ebaecbcc9a41225a3d4ab,[config] use a different queue for mailers,config/application.rb,32 33 34 35,"",110e8833c9c823a28e2ebaecbcc9a41225a3d4ab,"",yes,bundle exec mutant run --usage opensource '$SUBJECT',Automatic subject resolution failed; exclude this region.
nonfix_control,ffbafdf90cae6565953957721f840573621cdba9,506f6257fa30b78ee3ad881d2121852bb019c178,Send emails in background,app/controllers/members_controller.rb,9,9,506f6257fa30b78ee3ad881d2121852bb019c178,MembersController#destroy,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
nonfix_control,ffbafdf90cae6565953957721f840573621cdba9,506f6257fa30b78ee3ad881d2121852bb019c178,Send emails in background,app/controllers/petitions_controller.rb,8 9,8 9,506f6257fa30b78ee3ad881d2121852bb019c178,PetitionsController#create,no,bundle exec mutant run --usage opensource '$SUBJECT',Resolved from parent source; execute against parent_sha.
