screened_on,app_id,repository_url,revision,source_branch,license,ruby_version,rails_version,test_framework,prior_pair_screening,static_gate,github_status,commits_examined,conventional_fix_commits,nonbug_nonfix_commits,representative_fix_sha,representative_fix_subject,representative_fix_ruby_source_files,eligibility,reason,next_gate
2026-09-22,24pullrequests,https://github.com/24pullrequests/24pullrequests,9b7344472bd4bab43cf020732d7e55372a350e73,main,MIT,4.0.5,8.1.3.1,RSpec+Minitest,none,passed,ok,100,0,100,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,accelerated_claims,https://github.com/ministryofjustice/accelerated_claims,7c96858afd2458a409ae9e1504bbe5cf020f4c0b,master,NOASSERTION,2.3.3,~>4.2.7,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,administrate,https://github.com/thoughtbot/administrate,c599683905c9a975651b4c1e56cbd06e46c55a21,main,MIT,4.0.0,8.1.3,RSpec,none,passed,ok,100,0,91,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,adopt-a-hydrant,https://github.com/codeforamerica/adopt-a-hydrant,803c8ea993d4bd6fc1a9dd76447de41f106ac5b6,master,BSD-3-Clause,2.3.1,~> 4.2.7,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,ahoy,https://github.com/ankane/ahoy,4e1be2dfa321e3b847179f540e92f33e1f10ec86,master,MIT,not_declared,~> 8.1.0,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,ahoy_email,https://github.com/ankane/ahoy_email,f997633d7243d9810fddc04a9824e1bb7253a18a,master,MIT,not_declared,not_declared,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,alaveteli,https://github.com/mysociety/alaveteli,1f928036301ad3b1ce58c2c6071e369c2a05b0d3,develop,NOASSERTION,not_declared,~> 8.0.5,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,alchemy_cms,https://github.com/AlchemyCMS/alchemy_cms,617d1a36e4209f6219fc996dd76d40a4cd5bb76e,main,BSD-3-Clause,ruby-4.0,~> #{rails_version}.0,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Rails version does not declare support at or above 6.1.,None; excluded before GitHub history scan.
2026-09-22,alonetone,https://github.com/sudara/alonetone,c1a74e302fbf9d48fc55020688c8a1dd3f9181b6,main,MIT,4.0.3,~> 8.1.3,RSpec,none,passed,ok,100,0,89,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,amahi-platform,https://github.com/amahi/platform,38a1d1f0f7acd972189af722c420776df14998dc,master,NOASSERTION,2.4.3,~>5.2.0,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,atet,https://github.com/ministryofjustice/atet,dd88cff8c01e61a1ecedbeea2240e528f4418538,master,MIT,4.0.1,8.1.3.1,RSpec,none,passed,ok,100,0,83,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,attachinary,https://github.com/assembler/attachinary,98a895be22edc74b1928ffa3ae116d24bd9818fd,master,MIT,not_declared,4.2.3,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,bender,https://github.com/collectiveidea/bender,a93bdfafee2f97e41ad48621996d9edcb3548da0,main,MIT,3.3.1,~> 7.1.3,RSpec,none,passed,ok,100,0,98,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,bike_index,https://github.com/bikeindex/bike_index,480142ad479dab9bca11c08b15a5bd55df3c99ba,main,AGPL-3.0,4.0.6,8.1.3.1,RSpec,none,passed,ok,100,0,94,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,blazer,https://github.com/ankane/blazer,9622ad8dc2e76c88552413d9804603fb4dd4ef20,master,MIT,not_declared,~> 8.1.0,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,brimir,https://github.com/ivaldi/brimir,35ead7a12471c8f1d1881c7c5ebdb00587198691,master,AGPL-3.0,not_declared,~> 5.1.0,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
