run_date,session_id,app_id,revision,subject,mutation_id,location,result,proposed_category,classification_status,evidence,follow_up
2026-09-08,01a081f5-1555-7fdd-a1ad-88061b1a91a6,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,Entry#for_today?,evil:Entry#for_today?:/app/app/models/entry.rb:20:e47e3,app/models/entry.rb:20,alive,equivalent,reviewed,Reviewed 2026-09-09: Time.zone.now derives the current instant and the method immediately converts it to user.time_zone; Time.now converted to that same zone yields the same local date. The only theoretical difference is a midnight race between separate current-time reads; 21 of 22 mutations killed; session 01a081f5-1555-7fdd-a1ad-88061b1a91a6,"Accept as equivalent for the current-day contract. No test, source change, or confirmed bug; retain as an example that a surviving mutation is not automatically a defect"
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,AdminDashboardController#admin_emails,evil:AdminDashboardController#admin_emails:/app/app/controllers/admin_dashboard_controller.rb:16:6c7c7,app/controllers/admin_dashboard_controller.rb:16,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=3,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,AdminDashboardController#admin_emails,evil:AdminDashboardController#admin_emails:/app/app/controllers/admin_dashboard_controller.rb:16:dace7,app/controllers/admin_dashboard_controller.rb:16,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=3,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,AdminDashboardController#admin_emails,evil:AdminDashboardController#admin_emails:/app/app/controllers/admin_dashboard_controller.rb:16:599b0,app/controllers/admin_dashboard_controller.rb:16,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=3,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,AdminDashboardController#show,evil:AdminDashboardController#show:/app/app/controllers/admin_dashboard_controller.rb:4:ce31d,app/controllers/admin_dashboard_controller.rb:4,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=3,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,AdminDashboardController#show,evil:AdminDashboardController#show:/app/app/controllers/admin_dashboard_controller.rb:4:5411d,app/controllers/admin_dashboard_controller.rb:4,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=3,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,AdminDashboardController#show,evil:AdminDashboardController#show:/app/app/controllers/admin_dashboard_controller.rb:4:f6833,app/controllers/admin_dashboard_controller.rb:4,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=3,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,ApplicationController#layout_by_resource,evil:ApplicationController#layout_by_resource:/app/app/controllers/application_controller.rb:10:514ec,app/controllers/application_controller.rb:10,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=0,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,ApplicationController#layout_by_resource,evil:ApplicationController#layout_by_resource:/app/app/controllers/application_controller.rb:10:b27a0,app/controllers/application_controller.rb:10,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=0,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,ApplicationController#layout_by_resource,evil:ApplicationController#layout_by_resource:/app/app/controllers/application_controller.rb:10:a3fa8,app/controllers/application_controller.rb:10,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=0,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,ApplicationController#layout_by_resource,evil:ApplicationController#layout_by_resource:/app/app/controllers/application_controller.rb:10:c8c10,app/controllers/application_controller.rb:10,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=0,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,ApplicationController#layout_by_resource,evil:ApplicationController#layout_by_resource:/app/app/controllers/application_controller.rb:10:464a2,app/controllers/application_controller.rb:10,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=0,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,ApplicationController#layout_by_resource,evil:ApplicationController#layout_by_resource:/app/app/controllers/application_controller.rb:10:3e0b2,app/controllers/application_controller.rb:10,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=0,Human triage required; inspect the recorded session before assigning a category or claiming a bug
2026-09-09,01a086d0-7263-722f-add9-d7cc49a3ee18,trailmix,3565d61e451a39c76ec952acf7e9196c810c5ea6,ApplicationController#layout_by_resource,evil:ApplicationController#layout_by_resource:/app/app/controllers/application_controller.rb:10:d9f68,app/controllers/application_controller.rb:10,alive,"",unreviewed,Full session 01a086d0-7263-722f-add9-d7cc49a3ee18; mutation_type=evil; selected_tests=0,Human triage required; inspect the recorded session before assigning a category or claiming a bug
